"InternalReference","Description","ItemCategory","ItemCategory2","Department","Weight","Dimension","Length","Thickness","UsedFor","Finishing","SAD_UOM","conversion_rate","PURCHASE_UOM","Warehouse_QTY","Available_QTY","Warehouse_QTY_SG","Available_QTY_SG","PQ_QTY","PO_QTY","MinQty","reOrderQty","drawing_Ref_T1","drawing_Ref_T2","drawing_Ref_FRP","PackingReference","our_final_price","market_final_price"
"2BCL5-m-14-MS-NE","[Type 2] MS Tank Panel Ø14 BC(L)(NE) - 5.0mm(thk) x 1M x 1M","FABRICATION","PANEL","PANEL-STEEL","44.5","[Type 2] 1M x 1M","0","5","wall-base","MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","SE-PL-MT2TR-22-002","N/A","BUNDLE","175.6158","184.8"
"2BCL5-m-18-MS-NE","[Type 2] MS Tank Panel Ø18 BC(L)(NE) - 5.0mm(thk) x 1M x 1M","FABRICATION","PANEL","PANEL-STEEL","44.5","[Type 2] 1M x 1M","0","5","wall-base","MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","SE-PL-MT2ST-22-002","N/A","BUNDLE","175.6158","184.8"
"2BCR5-m-14-MS-NE","[Type 2] MS Tank Panel Ø14 BC(R)(NE) - 5.0mm(thk) x 1M x 1M","FABRICATION","PANEL","PANEL-STEEL","44.5","[Type 2] 1M x 1M","0","5","wall-base","MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","SE-PL-MT2TR-22-001","N/A","BUNDLE","175.6158","184.8"
"2BCR5-m-18-MS-NE","[Type 2] MS Tank Panel Ø18 BC(R)(NE) - 5.0mm(thk) x 1M x 1M","FABRICATION","PANEL","PANEL-STEEL","44.5","[Type 2] 1M x 1M","0","5","wall-base","MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","SE-PL-MT2ST-22-001","N/A","BUNDLE","175.6158","184.8"
"2TBA6-i-18-MS-1H","[Type 2] MS Tank Panel Ø18 TBA - 6.0mm(thk) x 4' x 4'- 1H","FABRICATION","PANEL","PANEL-STEEL","79","[Type 2] 4ft x 4ft","0","6","wall-base","MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","SE-PL-IMP-MST2-22-003","N/A","BUNDLE","259.98","269.7915"
"2TBA6-i-18-MS-2H","[Type 2] MS Tank Panel Ø18 TBA - 6.0mm(thk) x 4' x 4'- 2H","FABRICATION","PANEL","PANEL-STEEL","79","[Type 2] 4ft x 4ft","0","6","wall-base","MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","SE-PL-IMP-MST2-22-003","N/A","BUNDLE","259.98","269.7915"
"2TBA6-i-18-MS-3H","[Type 2] MS Tank Panel Ø18 TBA - 6.0mm(thk) x 4' x 4'- 3H","FABRICATION","PANEL","PANEL-STEEL","79","[Type 2] 4ft x 4ft","0","6","wall-base","MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","SE-PL-IMP-MST2-22-003","N/A","BUNDLE","259.98","269.7915"
"2TBA6-i-18-MS-4H","[Type 2] MS Tank Panel Ø18 TBA - 6.0mm(thk) x 4' x 4'- 4H","FABRICATION","PANEL","PANEL-STEEL","79","[Type 2] 4ft x 4ft","0","6","wall-base","MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","SE-PL-IMP-MST2-22-004","N/A","BUNDLE","259.98","269.7915"
"2TBA6-i-HDG","[Type 2] HDG Tank Panel TBA - 6.0mm(thk) x 4' x 4'","FABRICATION","PANEL","GALVANIZING","80.74","[Type 2] 4ft x 4ft","0","6","wall-base","HDG","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","SE-PL-IMP-MST2-22-004","N/A","BUNDLE","357.48","367.2915"
"2TBAB6-i-18-MS-1H","[Type 2] MS Tank Panel Ø18 TBAB - 6.0mm(thk) x 4' x 4'- 1H","FABRICATION","PANEL","PANEL-STEEL","79","[Type 2] 4ft x 4ft","0","6","wall-base","MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","BUNDLE","259.98","269.7915"
"2TBAB6-i-18-MS-2H","[Type 2] MS Tank Panel Ø18 TBAB - 6.0mm(thk) x 4' x 4'- 2H","FABRICATION","PANEL","PANEL-STEEL","79","[Type 2] 4ft x 4ft","0","6","wall-base","MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","SE-PL-IMP-MST2-22-005","N/A","BUNDLE","259.98","269.7915"
"2TBAB6-i-18-MS-3H","[Type 2] MS Tank Panel Ø18 TBAB - 6.0mm(thk) x 4' x 4'- 3H","FABRICATION","PANEL","PANEL-STEEL","79","[Type 2] 4ft x 4ft","0","6","wall-base","MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","BUNDLE","259.98","269.7915"
"2TBAB6-i-18-MS-4H","[Type 2] MS Tank Panel Ø18 TBAB - 6.0mm(thk) x 4' x 4'- 4H","FABRICATION","PANEL","PANEL-STEEL","79","[Type 2] 4ft x 4ft","0","6","wall-base","MS","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","N/A","N/A","BUNDLE","259.98","269.7915"
"2TBAB6-i-HDG","[Type 2] HDG Tank Panel TBAB - 6.0mm(thk) x 4' x 4'","FABRICATION","PANEL","GALVANIZING","80.74","[Type 2] 4ft x 4ft","0","6","wall-base","HDG","PCS","1","PCS","0","0","0","0","0","0","0","0","N/A","SE-PL-IMP-MST2TR-22-003","N/A","BUNDLE","357.48","367.2915"
"OP12ft-HDG-HDPE","[Type 1] HDG OP Stay 140 - 1/8"" + HDPE","FABRICATION","ACCESSORIES","GALVANIZING","12.73",,"0",,,"HDG","PCS","1","PCS","0","0","0","0","0","0","0","0","T1-SE-ACCD-2000-001_Sheet_47","N/A","N/A","LOOSE","76.5293","79.961"
"OP16ft-HDG-HDPE","[Type 1] HDG OP Stay 188 - 1/8"" + HDPE","FABRICATION","ACCESSORIES","GALVANIZING","17.09",,"0",,,"HDG","PCS","1","PCS","0","0","0","0","0","0","0","0","T1-SE-ACCD-2000-001_Sheet_47","N/A","N/A","LOOSE","82.4043","85.836"
"OP4ft-HDG-HDPE","[Type 1] HDG OP Stay 44 - 1/8"" + HDPE","FABRICATION","ACCESSORIES","GALVANIZING","4.01",,"0",,,"HDG","PCS","1","PCS","0","0","0","0","0","0","0","0","T1-SE-ACCD-2000-001_Sheet_47","N/A","N/A","LOOSE","17.3559","18.0422"
"OP8ft-HDG-HDPE","[Type 1] HDG OP Stay 92 - 1/8"" + HDPE","FABRICATION","ACCESSORIES","GALVANIZING","8.37",,"0",,,"HDG","PCS","1","PCS","0","0","0","0","0","0","0","0","T1-SE-ACCD-2000-001_Sheet_47","N/A","N/A","LOOSE","41.4522","43.168"
